"Library","Qty","Parts","Description","Value","Package","SORT",
"GMSN","3","CLK, IN, OUT","3.5 mm Jack Socket","PJ301M-12","PJ301M-12","8",
"GMSN","6","C3, C6, C8, C9, C10, C11","Capacitor","100nF","C0805","3",
"GMSN","1","C7","Capacitor","1u","C0805","3",
"GMSN","1","C1","Capacitor","560p","C0805","3",
"GMSN","1","C2","Capacitor","Polypropylene Film 4.7nF","C050-045X075","5",
"GMSN","1","D1","Diode","1N914","DO-41","1",
"GMSN","2","D2, D3","Diode","STTH102A","SMADIODE","3.9",
"GMSN","1","IC2","Dual Op Amp","TL072","SO08","4.5",
"GMSN","2","C4, C5","Electro Capacitor","10uF","153CLV-0505","3",
"GMSN","1","T1","Generic NPN BJT","MMBT3904","SOT23","4",
"GMSN","1","PWR","Header 5x2","HEADER2X5SHD","2X5-SHROUDED","7",
"GMSN","1","RATE","Pot","A1M","POTENTIOMETER_9MM","8",
"GMSN","1","IC3","Quad 2-input NAND schmitt trigger","cd4093","SOIC14","4",
"GMSN","1","R1","Resistor","100k","R0805","2",
"GMSN","5","R3, R5, R8, R9, R10","Resistor","10k","R0805","2",
"GMSN","1","R7","Resistor","1k","R0805","2",
"GMSN","2","R2, R6","Resistor","2k2","R0805","2",
"GMSN","1","R4","Resistor","5k6","R0805","2",
"GMSN","1","IC1","Sample and Hold","LF398","SOIC--8","4",
